imcraRegion,yearStart,yearEnd,griisStatus,recordCount,speciesCount
Davey,1991,1995,Native,2027,300
Davey,1996,2000,Introduced,1,1
Davey,1996,2000,Native,670,194
Davey,2001,2005,Native,4535,198
Davey,2006,2010,Introduced,7,6
Davey,2006,2010,Native,5508,532
Davey,2011,2015,Native,834,178
Davey,2016,2020,Introduced,2,2
Davey,2016,2020,Native,510,125
East Cape York,1900,1970,Introduced,2,2
East Cape York,1900,1970,Native,2481,1341
East Cape York,1971,1975,Introduced,4,4
East Cape York,1971,1975,Native,1191,500
East Cape York,1976,1980,Introduced,2,2
East Cape York,1976,1980,Native,2399,1129
East Cape York,1981,1985,Introduced,3,2
East Cape York,1981,1985,Native,1472,475
East Cape York,1986,1990,Introduced,2,2
East Cape York,1986,1990,Native,979,383
East Cape York,1991,1995,Introduced,2,2
East Cape York,1991,1995,Invasive,1,1
East Cape York,1991,1995,Native,8474,957
East Cape York,1996,2000,Introduced,3,1
East Cape York,1996,2000,Invasive,1,1
East Cape York,1996,2000,Native,1164,281
East Cape York,2001,2005,Introduced,1,1
East Cape York,2001,2005,Invasive,5,2
East Cape York,2001,2005,Native,5743,788
East Cape York,2006,2010,Introduced,1,1
East Cape York,2006,2010,Invasive,16,1
East Cape York,2006,2010,Native,1270,283
East Cape York,2011,2015,Introduced,1,1
East Cape York,2011,2015,Native,3598,282
East Cape York,2016,2020,Introduced,4,2
East Cape York,2016,2020,Native,4395,394
Eighty Mile Beach,1900,1970,Native,155,124
Eighty Mile Beach,1971,1975,Native,86,83
Eighty Mile Beach,1976,1980,Native,307,157
Eighty Mile Beach,1981,1985,Native,49,40
Eighty Mile Beach,1986,1990,Introduced,1,1
Eighty Mile Beach,1986,1990,Native,8,8
Eighty Mile Beach,1991,1995,Native,126,71
Eighty Mile Beach,1996,2000,Native,127,58
Eighty Mile Beach,2001,2005,Native,291,104
Eighty Mile Beach,2006,2010,Native,231,60
Eighty Mile Beach,2011,2015,Native,215,51
Eighty Mile Beach,2016,2020,Native,1092,94
Eucla,1900,1970,Introduced,5,3
Eucla,1900,1970,Native,16359,958
Eucla,1971,1975,Introduced,1,1
Eucla,1971,1975,Native,3202,208
Eucla,1976,1980,Introduced,1,1
Eucla,1976,1980,Native,2777,407
Eucla,1981,1985,Native,2255,380
Eucla,1986,1990,Native,1335,130
Eucla,1991,1995,Introduced,1,1
Eucla,1991,1995,Native,377,149
Eucla,1996,2000,Introduced,1,1
Eucla,1996,2000,Invasive,26,2
Eucla,1996,2000,Native,953,261
Eucla,2001,2005,Invasive,48,2
Eucla,2001,2005,Native,1664,335
Eucla,2006,2010,Introduced,2,1
Eucla,2006,2010,Native,2574,221
Eucla,2011,2015,Native,3016,240
Eucla,2016,2020,Native,3834,107
Eyre,1900,1970,Introduced,107,59
Eyre,1900,1970,Invasive,5,4
Eyre,1900,1970,Native,11724,2289
Eyre,1971,1975,Introduced,38,21
Eyre,1971,1975,Native,2734,933
Eyre,1976,1980,Introduced,122,27
Eyre,1976,1980,Invasive,24,3
Eyre,1976,1980,Native,6222,940
Eyre,1981,1985,Introduced,89,24
Eyre,1981,1985,Invasive,27,3
Eyre,1981,1985,Native,5436,1094
Eyre,1986,1990,Introduced,115,40
Eyre,1986,1990,Invasive,4,4
Eyre,1986,1990,Native,2807,684
Eyre,1991,1995,Introduced,22,18
Eyre,1991,1995,Native,5294,768
Eyre,1996,2000,Introduced,40,20
Eyre,1996,2000,Invasive,8,3
Eyre,1996,2000,Native,3694,784
Eyre,2001,2005,Introduced,19,14
Eyre,2001,2005,Invasive,9,3
Eyre,2001,2005,Native,5235,594
Eyre,2006,2010,Introduced,14,8
Eyre,2006,2010,Invasive,76,4
Eyre,2006,2010,Native,6037,730
Eyre,2011,2015,Introduced,7,4
Eyre,2011,2015,Native,6463,594
Eyre,2016,2020,Introduced,4,3
Eyre,2016,2020,Invasive,19,2
Eyre,2016,2020,Native,3015,411
Flinders,1900,1970,Introduced,131,56
Flinders,1900,1970,Invasive,4,2
Flinders,1900,1970,Native,11549,1688
Flinders,1971,1975,Introduced,120,45
Flinders,1971,1975,Invasive,3,1
Flinders,1971,1975,Native,3432,943
Flinders,1976,1980,Introduced,61,29
Flinders,1976,1980,Invasive,7,2
