ibraRegion,yearStart,yearEnd,griisStatus,recordCount,speciesCount
Burt Plain,2001,2005,Introduced,18,13
Burt Plain,2001,2005,Invasive,602,4
Burt Plain,2001,2005,Native,13638,915
Burt Plain,2006,2010,Introduced,30,15
Burt Plain,2006,2010,Invasive,179,5
Burt Plain,2006,2010,Native,13016,673
Burt Plain,2011,2015,Introduced,33,14
Burt Plain,2011,2015,Invasive,258,4
Burt Plain,2011,2015,Native,11900,800
Burt Plain,2016,2020,Introduced,4,1
Burt Plain,2016,2020,Invasive,28,1
Burt Plain,2016,2020,Native,11790,490
Cape York Peninsula,1900,1970,Introduced,91,39
Cape York Peninsula,1900,1970,Invasive,2,2
Cape York Peninsula,1900,1970,Native,28099,5220
Cape York Peninsula,1971,1975,Introduced,90,42
Cape York Peninsula,1971,1975,Invasive,2,1
Cape York Peninsula,1971,1975,Native,30730,4746
Cape York Peninsula,1976,1980,Introduced,82,28
Cape York Peninsula,1976,1980,Invasive,2,2
Cape York Peninsula,1976,1980,Native,31511,4850
Cape York Peninsula,1981,1985,Introduced,144,38
Cape York Peninsula,1981,1985,Invasive,6,4
Cape York Peninsula,1981,1985,Native,22524,4144
Cape York Peninsula,1986,1990,Introduced,145,44
Cape York Peninsula,1986,1990,Invasive,1,1
Cape York Peninsula,1986,1990,Native,18615,3678
Cape York Peninsula,1991,1995,Introduced,220,66
Cape York Peninsula,1991,1995,Invasive,12,2
Cape York Peninsula,1991,1995,Native,24715,3852
Cape York Peninsula,1996,2000,Introduced,260,83
Cape York Peninsula,1996,2000,Invasive,23,7
Cape York Peninsula,1996,2000,Native,46866,2318
Cape York Peninsula,2001,2005,Introduced,300,80
Cape York Peninsula,2001,2005,Invasive,439,5
Cape York Peninsula,2001,2005,Native,56193,2599
Cape York Peninsula,2006,2010,Introduced,359,85
Cape York Peninsula,2006,2010,Invasive,512,7
Cape York Peninsula,2006,2010,Native,56852,3343
Cape York Peninsula,2011,2015,Introduced,621,102
Cape York Peninsula,2011,2015,Invasive,183,7
Cape York Peninsula,2011,2015,Native,117625,3071
Cape York Peninsula,2016,2020,Introduced,217,63
Cape York Peninsula,2016,2020,Invasive,23,6
Cape York Peninsula,2016,2020,Native,184009,3137
Carnarvon,1900,1970,Introduced,56,19
Carnarvon,1900,1970,Invasive,2,2
Carnarvon,1900,1970,Native,9496,2167
Carnarvon,1971,1975,Introduced,5,4
Carnarvon,1971,1975,Invasive,1,1
Carnarvon,1971,1975,Native,3820,1580
Carnarvon,1976,1980,Introduced,9,4
Carnarvon,1976,1980,Native,4568,906
Carnarvon,1981,1985,Introduced,7,5
Carnarvon,1981,1985,Native,3480,1060
Carnarvon,1986,1990,Introduced,18,12
Carnarvon,1986,1990,Native,3021,965
Carnarvon,1991,1995,Introduced,110,31
Carnarvon,1991,1995,Native,8238,1634
Carnarvon,1996,2000,Introduced,38,12
Carnarvon,1996,2000,Invasive,1,1
Carnarvon,1996,2000,Native,10707,831
Carnarvon,2001,2005,Introduced,16,9
Carnarvon,2001,2005,Invasive,1,1
Carnarvon,2001,2005,Native,18947,1095
Carnarvon,2006,2010,Introduced,16,13
Carnarvon,2006,2010,Invasive,1,1
Carnarvon,2006,2010,Native,12429,1271
Carnarvon,2011,2015,Introduced,41,8
Carnarvon,2011,2015,Invasive,4,3
Carnarvon,2011,2015,Native,24498,1018
Carnarvon,2016,2020,Introduced,24,17
Carnarvon,2016,2020,Invasive,17,2
Carnarvon,2016,2020,Native,46498,1079
Central Arnhem,1900,1970,Introduced,40,5
Central Arnhem,1900,1970,Invasive,2,2
Central Arnhem,1900,1970,Native,697,439
Central Arnhem,1971,1975,Introduced,10,5
Central Arnhem,1971,1975,Native,1332,588
Central Arnhem,1976,1980,Native,507,217
Central Arnhem,1981,1985,Native,413,253
Central Arnhem,1986,1990,Introduced,2,2
Central Arnhem,1986,1990,Invasive,1,1
Central Arnhem,1986,1990,Native,5240,785
Central Arnhem,1991,1995,Introduced,3,2
Central Arnhem,1991,1995,Invasive,3,1
Central Arnhem,1991,1995,Native,672,277
Central Arnhem,1996,2000,Introduced,74,24
Central Arnhem,1996,2000,Invasive,13,2
Central Arnhem,1996,2000,Native,9087,1253
Central Arnhem,2001,2005,Introduced,3,3
Central Arnhem,2001,2005,Invasive,8,2
Central Arnhem,2001,2005,Native,2004,575
Central Arnhem,2006,2010,Introduced,66,11
Central Arnhem,2006,2010,Invasive,3,1
Central Arnhem,2006,2010,Native,740,285
Central Arnhem,2011,2015,Introduced,6,1
Central Arnhem,2011,2015,Invasive,1,1
Central Arnhem,2011,2015,Native,1506,517
Central Arnhem,2016,2020,Introduced,2,2
Central Arnhem,2016,2020,Invasive,3,2
Central Arnhem,2016,2020,Native,3453,270
Central Kimberley,1900,1970,Introduced,8,4
Central Kimberley,1900,1970,Native,3997,1005
Central Kimberley,1971,1975,Introduced,4,3
Central Kimberley,1971,1975,Native,2040,675
Central Kimberley,1976,1980,Introduced,25,10
Central Kimberley,1976,1980,Native,3708,877
Central Kimberley,1981,1985,Introduced,7,5
Central Kimberley,1981,1985,Native,2062,638
Central Kimberley,1986,1990,Introduced,39,16
Central Kimberley,1986,1990,Native,3352,914
Central Kimberley,1991,1995,Introduced,13,8
Central Kimberley,1991,1995,Native,1604,566
Central Kimberley,1996,2000,Introduced,5,4
Central Kimberley,1996,2000,Native,7234,527
Central Kimberley,2001,2005,Introduced,67,25
Central Kimberley,2001,2005,Invasive,6,2
Central Kimberley,2001,2005,Native,12691,897
Central Kimberley,2006,2010,Introduced,12,7
Central Kimberley,2006,2010,Native,14717,886
Central Kimberley,2011,2015,Introduced,6,4
Central Kimberley,2011,2015,Invasive,2,2
Central Kimberley,2011,2015,Native,9290,953
Central Kimberley,2016,2020,Introduced,6,5
Central Kimberley,2016,2020,Native,30422,459
Central Mackay Coast,1900,1970,Introduced,71,41
Central Mackay Coast,1900,1970,Invasive,10,2
Central Mackay Coast,1900,1970,Native,10424,3679
Central Mackay Coast,1971,1975,Introduced,35,19
Central Mackay Coast,1971,1975,Invasive,4,1
Central Mackay Coast,1971,1975,Native,4604,1540
Central Mackay Coast,1976,1980,Introduced,61,42
Central Mackay Coast,1976,1980,Native,7919,1778
Central Mackay Coast,1981,1985,Introduced,41,21
Central Mackay Coast,1981,1985,Invasive,3,2
Central Mackay Coast,1981,1985,Native,4802,1496
Central Mackay Coast,1986,1990,Introduced,80,49
Central Mackay Coast,1986,1990,Invasive,4,2
Central Mackay Coast,1986,1990,Native,6226,1934
Central Mackay Coast,1991,1995,Introduced,159,74
Central Mackay Coast,1991,1995,Invasive,55,6
Central Mackay Coast,1991,1995,Native,12491,2575
Central Mackay Coast,1996,2000,Introduced,153,43
Central Mackay Coast,1996,2000,Invasive,21,3
Central Mackay Coast,1996,2000,Native,33575,1551
Central Mackay Coast,2001,2005,Introduced,170,57
Central Mackay Coast,2001,2005,Invasive,2738,9
Central Mackay Coast,2001,2005,Native,22638,1383
Central Mackay Coast,2006,2010,Introduced,123,52
Central Mackay Coast,2006,2010,Invasive,1373,5
Central Mackay Coast,2006,2010,Native,23516,1429
